Output for adpcm-test.c:
10,7.900,1356,43,403,612,59,180,79,2,21,39,3,8,17.165,21.500,19.190,15.692,19.667,22.500,118,0,31.333,42,0.333,4.333,6.000,2.000,1.333,0

Output for fft1k.c:
4,3.750,156032,0,13568,94976,13568,20352,15,0,1,9,1,2,10402.133,0,13568.000,10552.889,13568.000,10176.000,13568,13568,00.000,0,0.000,0.000,0.000,0.000,0.000,0
10,9.100,465664,13568,126208,187392,17664,103168,91,2,21,39,3,20,5117.187,6784.000,6009.905,4804.923,5888.000,5158.400,35328,0,31.333,51,0.333,4.333,6.000,2.000,4.333,0
1,8.000,8192,0,1024,3072,0,4096,8,0,1,3,0,4,1024.000,0,1024.000,1024.000,0,1024.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
1,7.000,7,0,0,4,0,3,7,0,0,4,0,3,1.000,0,0,1.000,0,1.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
5,8.600,31760,2049,2049,16393,1025,8195,43,2,3,23,1,11,738.605,1024.500,683.000,712.739,1025.000,745.000,3074,0,13.000,31,2.000,2.000,16.000,3.000,8.000,0
13,10.846,476336,18471,51200,356445,7187,29693,141,9,10,100,3,10,3378.270,2052.333,5120.000,3564.450,2395.667,2969.300,20527,0,111.000,123,8.000,10.000,85.000,11.000,9.000,0

Output for fibcall.c:
4,7.750,483,88,0,334,30,1,31,3,0,24,1,1,15.581,29.333,0,13.917,30.000,1.000,60,0,12.000,16,3.000,0.000,11.000,2.000,0.000,0
1,6.000,6,0,0,3,0,3,6,0,0,3,0,3,1.000,0,0,1.000,0,1.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0

Output for fir.c:
1,9.000,198,88,0,66,0,44,9,4,0,3,0,2,22.000,22.000,0,22.000,0,22.000,0,0,00.000,0,0.000,0.000,0.000,0.000,0.000,0
5,14.800,9393,668,688,7010,339,20,74,2,5,61,1,2,126.932,334.000,137.600,114.918,339.000,10.000,1007,0,13.000,27,2.000,2.000,20.000,3.000,0.000,0
9,6.333,477,42,80,180,22,111,57,4,8,25,2,12,8.368,10.500,10.000,7.200,11.000,9.250,64,0,23.000,46,2.000,4.000,8.500,3.000,5.500,0
10,9.100,3354,94,886,1368,134,738,91,2,21,39,3,20,36.857,47.000,42.190,35.077,44.667,36.900,174,94,31.333,51,0.333,4.333,6.000,2.000,4.333,0
7,11.857,690,20,108,426,31,74,83,1,17,49,2,10,8.313,20.000,6.353,8.694,15.500,7.400,42,20,12.000,30,0.000,8.000,16.000,2.000,4.000,0
