Filename,Random Forest,SVR Linear,SVR Poly,SVR RBF,KNN,Gradient Boosting,AdaBoost,Random Number,O0,O1,O2,O3
00216.c,0.0027989872429471548,0.00033370469440279014,0.003466944489836523,0.0003964915956599234,-0.0011895378497807818,0.001510596481868223,0.0035211371137433,0.001673266977077539,0.0010038257836518674,-0.00046113096669677127,0.002796827342012509,0.0
00217.c,0.0016275135916359255,0.0001243720552370915,0.0004983645086266424,-0.0011049211961723445,-0.0009732788881403664,0.001345225272692602,0.0002721124806888889,-0.0004088552861401169,-0.0009982132557131405,-0.0031024965249376096,-0.0010549371600164967,0.0
00218.c,-0.00038600555170685953,0.0009904871948216588,0.003030438092204808,0.005681474075659167,-0.0017559983504666992,0.00250013100015882,0.0012212567146159122,-0.002167897948165155,-0.0004595726310215891,0.0009987240618279352,0.0007210712219908555,0.0
00219.c,0.004429873423887713,0.005835489663030932,0.007567572171399226,0.004384564421062282,0.005914207391741379,0.0069306594758653806,0.006155519369706572,0.0034902618241598694,0.0031965799155837873,0.002107776138993044,-0.0020642344424170876,0.0
00220.c,0.002071313773658259,3.259580260810415e-05,3.4905414877880774e-05,0.0016125945072763682,0.001152467496970619,0.003793612790488451,0.001591924099440037,0.002380839136498502,0.0034751703339567274,0.0016758849325541696,0.0007298830889818493,0.0
nestedLoop.c,-0.0011514206423970785,0.0011333884231416996,-2.297242980503398e-05,-0.0015207374409148171,-0.0010980271532858197,-0.0006622361256795424,0.00011223653529782127,4.6584923385661966e-05,-0.00617514373854738,-0.002316363758926425,-0.005654512708235256,0.0
recursion.c,0.0017975294697882547,-0.0006336089850141921,0.003142187414624607,-0.0018088417093483718,0.0009416905837591918,0.0001861003827693405,-0.0007767116238507573,0.001938877419628504,0.001955750293331876,0.0019361476537763603,-0.00012111173500053202,0.0
select.c,0.0032827956407913837,0.005418272618215822,0.0024208188073643645,0.004330644407542131,0.0001640652782086427,0.0026991113425044494,0.002178297073935872,0.002346043849714807,0.002491724047239184,-0.00038566768034300965,0.002734974013601545,0.0
test10.c,-0.0022198713256922913,0.0002540832777715955,-0.002149522182326739,0.004561808192207985,-0.0007218740196271191,0.0017132349150916213,0.003000445374326914,0.003406077626058255,-0.000449308091909486,0.0033721892933802956,0.0018268262880794,0.0
test11.c,0.005867294655764521,0.004369641212683672,0.005453413172402092,0.00406899495741562,0.006172707612651646,0.004234693095718165,0.005997355131174864,0.003776541340232142,0.003624177872469392,0.0008872716707960392,0.0033081764156602847,0.0
test12.c,0.0032888837886681983,0.0008761489449653516,-0.0009190853635276392,-0.0009618553792946189,-0.0018001004659125358,-0.002630335731491442,-0.0017084170230707223,0.003916627090535182,0.0011597645200763038,-0.005663539376482609,-0.0035194775866093492,0.0
test13.c,-0.0016082891250914094,0.0011360601263140048,-0.0002283502888167285,-0.0012163734964107584,0.0001517984098403849,0.0006292884836496126,-0.0012715865887256744,0.00023632648792214025,-1.3245628365153495e-05,-0.0006002095048214777,-0.0009306463702481616,0.0
test1.c,0.0017796736183235446,0.002119702139506528,0.001781883682668994,0.0016323693862563035,-0.001962894004673303,0.00197336207148801,0.002106973921902282,0.0008432825028481605,-0.00032628396615075463,0.002081870178737587,0.0027639786783760535,0.0
test2.c,0.0019575219684249403,0.0032509494546911844,0.0036606494361817936,0.005280750026967317,0.0021036461130825813,0.005654649447545204,0.004797678326455138,0.004873460717715564,0.004168939677744411,0.0010642411358199797,0.00333714553439032,0.0
test3.c,-0.006071769827199375,-0.0004229834906855251,-0.0032690443112837614,-0.0019301204618825793,-0.002685912909134022,-0.004289993172623227,-0.0053323901757238055,-0.0001440855081637778,-0.004371354305419511,-0.005151128025916248,-0.006950599500501923,0.0
test4.c,0.002442580893848841,0.004146153697867271,0.004249098040400726,0.001418665550877074,0.0056639591173614666,0.0013344281053490291,0.00318243302951242,0.003565661176106041,0.0032108798811570096,0.001077817279842391,0.0021675702870236147,0.0
test5.c,0.00211158758508686,0.004321250762532118,0.0002717150006190271,0.000613705243929047,-9.340443512347275e-05,0.0009127632490478412,0.002421613558862293,-0.0013288059903652132,-0.003969672901435059,-0.001453586382830356,0.0016274752520915147,0.0
test6.c,0.0014001487197916143,0.00019522628957419338,0.0009407389229740613,0.0011314238976818688,0.0007745799797760948,0.0018627514650514164,0.0007025407817089019,0.0003045675003935911,0.0002827696077822752,-3.7172201077831356e-05,-0.001539983111668663,0.0
